_id;tipo_di_partita;squadra_in_casa;squadra_in_trasferta;datetime_kick_off;gol_segnati_casa;gol_segnati_trasferta;rigori_finali_segnati_casa;rigori_finali_segnati_trasferta;nome_partita;kick_off_day;datetime_kick_off_string;kick_off_day_string;percentuale_possesso_palla_casa;percentuale_possesso_palla_trasferta;gol_totale_casa;gol_totale_trasferta;tiri_totale_casa;tiri_totale_trasferta;tiri_in_porta_casa;tiri_in_porta_trasferta;ammonizioni_casa;ammonizioni_trasferta;espulsioni_casa;espulsioni_trasferta;falli_subiti_casa;falli_subiti_trasferta;fuorigioco_casa;fuorigioco_trasferta;passaggi_casa;passaggi_trasferta;passaggi_completati_casa;passaggi_completati_trasferta;cross_casa;cross_trasferta;cross_completati_casa;cross_completati_trasferta;corner_casa;corner_trasferta;calci_piazzati_casa;calci_piazzati_trasferta;rigori_segnati_casa;rigori_segnati_trasferta;gol_trasferta_1;gol_trasferta_2;gol_casa_1;gol_casa_2;gol_casa_3;gol_casa_4;gol_casa_5;gol_casa_6;gol_casa_7;cartellino_rosso_casa_1;gol_trasferta_3;gol_trasferta_4;Negativo;Neutro;Positivo;total_tweets;Rank casa;Rank ospite;Punti Rank casa;Punti Rank ospite
63b835e872176b118ed982e8;Group A;QATAR;ECUADOR;2022-11-20 17:00:00;0;2;0;0;QATAR-ECUADOR;2022-11-20;2022-11-20 17:00:00;2022-11-20;42;50;0;2;5;6;0;3;4;2;0;0;15;15;3;4;450;480;381;409;9;14;4;4;1;3;19;17;0;1;Enner VALENCIA;Enner VALENCIA;;;;;;;;;;;249;383;368;1000;50;44;1441.97;1463.74
63b835e872176b118ed982e9;Group B;ENGLAND;IRAN;2022-11-21 14:00:00;6;2;0;0;ENGLAND-IRAN;2022-11-21;2022-11-21 14:00:00;2022-11-21;72;19;6;2;13;8;7;3;0;2;0;0;9;14;2;2;809;224;730;154;23;8;7;1;8;0;16;10;0;1;Mehdi TAREMI;Mehdi TAREMI;Jude BELLINGHAM;Bukayo SAKA;Raheem STERLING;Bukayo SAKA;Marcus RASHFORD;Jack GREALISH;;;;;204;401;395;1000;5;20;1737.46;1558.64
63b835e872176b118ed982ea;Group A;SENEGAL;NETHERLANDS;2022-11-21 17:00:00;0;2;0;0;SENEGAL-NETHERLANDS;2022-11-21;2022-11-21 17:00:00;2022-11-21;44;45;0;2;14;9;3;3;2;1;0;0;13;13;2;1;383;438;313;374;19;25;7;8;6;7;14;14;0;0;Cody GAKPO;Davy KLAASSEN;;;;;;;;;;;250;364;386;1000;18;8;1584.59;1679.41
63b835e872176b118ed982eb;Group B;UNITED STATES;WALES;2022-11-21 20:00:00;1;1;0;0;UNITED STATES-WALES;2022-11-21;2022-11-21 20:00:00;2022-11-21;51;39;1;1;6;7;1;3;4;2;0;0;15;10;1;1;569;409;509;321;31;15;4;6;5;3;11;15;0;1;Gareth BALE;;Tim WEAH;;;;;;;;;;7;20;195;222;16;19;1635.01;1582.13
63b835e972176b118ed982ec;Group C;ARGENTINA;SAUDI ARABIA;2022-11-22 11:00:00;1;2;0;0;ARGENTINA-SAUDI ARABIA;2022-11-22;2022-11-22 11:00:00;2022-11-22;64;24;1;2;14;3;6;2;0;6;0;0;7;21;10;1;610;267;529;190;29;9;12;2;9;2;22;16;1;0;SALEH ALSHEHRI;SALEM ALDAWSARI;Lionel MESSI;;;;;;;;;;186;346;468;1000;3;51;1770.65;1435.74
63b835ea72176b118ed982ed;Group D;DENMARK;TUNISIA;2022-11-22 14:00:00;0;0;0;0;DENMARK-TUNISIA;2022-11-22;2022-11-22 14:00:00;2022-11-22;55;33;0;0;11;11;4;1;2;1;0;0;9;10;1;1;594;387;523;302;27;13;10;3;11;9;11;10;0;0;;;;;;;;;;;;;175;370;455;1000;10;30;1665.47;1507.86
63b835ea72176b118ed982ee;Group C;MEXICO;POLAND;2022-11-22 17:00:00;0;0;0;0;MEXICO-POLAND;2022-11-22;2022-11-22 17:00:00;2022-11-22;54;31;0;0;13;8;4;1;2;1;0;0;14;16;3;0;485;322;422;241;33;10;8;2;6;5;16;16;0;0;;;;;;;;;;;;;265;345;390;1000;13;26;1649.57;1546.18
63b835eb72176b118ed982ef;Group D;FRANCE;AUSTRALIA;2022-11-22 20:00:00;4;1;0;0;FRANCE-AUSTRALIA;2022-11-22;2022-11-22 20:00:00;2022-11-22;56;35;4;1;22;4;7;1;0;3;0;0;5;11;0;0;734;466;672;399;34;9;17;2;8;1;11;5;0;0;Craig GOODWIN;;Adrien RABIOT;Olivier GIROUD;Kylian MBAPPE;Olivier GIROUD;;;;;;;139;435;426;1000;4;38;1764.85;1483.73
63b835eb72176b118ed982f0;Group F;MOROCCO;CROATIA;2022-11-23 11:00:00;0;0;0;0;MOROCCO-CROATIA;2022-11-23;2022-11-23 11:00:00;2022-11-23;32;57;0;0;8;6;2;2;1;0;0;0;17;11;0;1;360;667;290;592;10;19;1;4;0;5;12;17;0;0;;;;;;;;;;;;;137;463;400;1000;22;12;1558.35;1632.15
63b835ec72176b118ed982f1;Group E;GERMANY;JAPAN;2022-11-23 14:00:00;1;2;0;0;GERMANY-JAPAN;2022-11-23;2022-11-23 14:00:00;2022-11-23;65;22;1;2;25;10;9;3;0;0;0;0;6;14;4;4;820;261;743;207;28;16;9;3;6;6;17;10;1;0;Ritsu DOAN;Takuma ASANO;Ilkay GUENDOGAN;;;;;;;;;;166;364;470;1000;11;24;1658.96;1554.69
